headline_id,instrument,related_clients,title,source,timestamp,sentiment,sentiment_score
HDL00131,EURUSD,PHOENIX_CAPITAL_031;STERLING_FX_041,European Housing Data Weakens,WSJ,2025-12-02T13:25:32.792901,negative,-0.63
HDL00148,GOLD,ZEUS_COMM_019,Central Banks Announces Gold Rallies,WSJ,2025-12-02T13:25:32.792901,positive,0.59
HDL00167,AUDUSD,ZEUS_COMM_019;QUANTUM_FINANCE_015,RBA Announces Drives Trading Range Narrows,Bloomberg,2025-12-02T13:25:32.792901,neutral,-0.17
HDL00011,EURUSD,SENTINEL_ASSETS_067;HORIZON_GLOBAL_056,European Retail Sales Data Weakens,Reuters,2025-12-02T13:25:32.792901,negative,-0.82
HDL00026,USDJPY,TITAN_EQ_008;STERLING_FX_041,Yen Declines as Growth Concerns,Bloomberg,2025-12-02T12:25:32.792901,positive,0.89
HDL00025,USDJPY,ACME_FX_023;NEXUS_CAPITAL_017,BoJ Signals Beats Expectations,FT,2025-12-02T12:25:32.792901,positive,0.9
HDL00194,GOLD,ZEUS_COMM_019,Safe Haven Demand Weakens,FT,2025-12-02T11:25:32.792901,negative,-0.84
HDL00115,EURUSD,PHOENIX_CAPITAL_031;PINNACLE_WEALTH_064,EURUSD Hits Multi-Month High Amid Political Development,Reuters,2025-12-02T10:25:32.792901,neutral,0.2
HDL00157,GOLD,ZEUS_COMM_019,Precious Metals Tests Support Amid Jobs Report,FT,2025-12-02T10:25:32.792901,neutral,-0.14
HDL00090,USDJPY,CORNERSTONE_INV_033;TITAN_EQ_008,Yen Falls as Inflation Worries,FT,2025-12-02T10:25:32.792901,negative,-0.51
HDL00102,USDJPY,HORIZON_GLOBAL_056;TITAN_EQ_008,Yen Weakens as Inflation Worries,Reuters,2025-12-02T08:25:32.792901,negative,-0.84
HDL00137,GOLD,ZEUS_COMM_019,Safe Haven Demand Disappoints,WSJ,2025-12-02T08:25:32.792901,negative,-0.75
HDL00013,AUDUSD,NOVA_MACRO_045;ATLAS_BOND_012,Commodity Currencies Misses Forecast,FT,2025-12-02T07:25:32.792901,neutral,-0.11
HDL00066,EURUSD,OLYMPUS_VENTURES_024;STERLING_FX_041,Euro Rallies on Weak PMI Numbers,Reuters,2025-12-02T07:25:32.792901,positive,0.55
HDL00149,GOLD,ZEUS_COMM_019,Precious Metals Tests Support Amid Political Development,WSJ,2025-12-02T07:25:32.792901,neutral,-0.2
HDL00054,GOLD,ZEUS_COMM_019,Central Banks Signals Gold Rallies,Bloomberg,2025-12-02T07:25:32.792901,positive,0.81
HDL00162,EURUSD,MERIDIAN_FUND_052;ECLIPSE_PARTNERS_092,ECB Signals Signals Dovish Policy Stance,Bloomberg,2025-12-02T07:25:32.792901,neutral,0.18
HDL00107,EURUSD,PHOENIX_CAPITAL_031;OLYMPUS_VENTURES_024,ECB Maintains Signals Cautious Policy Stance,Reuters,2025-12-02T07:25:32.792901,neutral,-0.06
